Barrio,Mejora_barrio,Comuna
Nuevo Farfán,"la seguridad,  los escenarios  deportivos el arreglo de los parques y gestionar pavimento  y repavinento",Comuna 7
"",la seguridad y las vías públicas,""
Pueblo Nuevo,la seguridad y hacer talleres educativos y recreativos para nuestros niños y que el parque mantiene vacío por el miedo a salir,Comuna 6
El Bosque,la seguridad en ese  es fatal,Comuna 3
"",la seguridad,""
Maracaibo,la seguridad,Comuna 9
Nuevo Príncipe,la seguridad,Comuna 5
Pueblo Nuevo,la seguridad,Comuna 6
Aguaclara,la segurida la cultura de las personas,Comuna 10
Alvernia,"la movilidad es un caos,vivo frente al edificio vitta y parquean carros al lado y lado siendo está un calle principal",Comuna 2
"",la movilidad,""
"",la moralia,""
"",la maeina,""
Bosques de Maracaibo,la limpieza del popo de los perritos,Comuna 8
Bosques de Maracaibo,"la junta de acción comunal tiene el  un poco desamparado, está sucio y con basura",Comuna 8
Aguaclara,la inseguridad,Comuna 10
Victoria,la inseguridad,Comuna 1
Chiminangos,la inclusión social,Comuna 8
La Graciela,la iluminación y la seguridad,Comuna 9
Panamericano,"la iluminación es poca, falta señalización y preeencia de la autoridad. aún se hace piques de motos por este lugar",Comuna 1
La Herradura,"la herradura, por el parque donde está el saman, este se ha convertido en el campo donde traen las mascotas hacer sus necesidad",Comuna 6
La Herradura,"la herradura, pavimentar las calles",Comuna 6
"",la falta de controles de ruido,""
La Esperanza,la esperanza,Comuna 6
"","la empatia de la gente, ya que realizan fiestas fines de semana con musica a alto volumen",""
Fátima,la daría vida a la voley playa y haría eventos permanentes en el parque de la familia. y sobre todo haría un censo de mi,Comuna 1
"",la cultura ciudadana,""
"","la cruz, más actividades de integración, ayudar a los jóvenes que consumen drogas a mejorar la calidad de vida",""
El Bosque,"la convivencia,el respeto por el espacio de los demas",Comuna 3
San Luis,la convivencia falta respeto por el sueño del vecino,Comuna 8
"",la carrera 30....las calles les falta pavimentación y orden sobre esa carrera tan principal de la ciudad,""
"",la calidad de las vías y más zonas verdes,""
"",la bulla de los vecinos,""
Progresar,"la bulla ,es demasiada aveces hasta tres días seguidos con un equipo sin parar prendido",Comuna 6
El Príncipe,"l parque del príncipe ya es obsoleto, se podría crear unos reductores de velocidad en este para evitar los piques que se realizan",Comuna 5
Fátima,"kr 34 con 34, reductores. es un cruce muy accidentado. muy poca presencia de policía. se ve grupos de hombres en horas de madrugada",Comuna 1
Fátima,kay de policía en el parque de la familia,Comuna 1
Fátima,k en el parque de la flia coloquen aparatos para k podamos hacer ejercicios los mayores,Comuna 1
Miraflores,"junta de acción comunal miraflores pavimentar el tramo de la carrera 37,correspondiente entre la calle 32 y calle 33",Comuna 1
"","jazmín, mejoraría el flujo vehicular ya que los camiones se estacionan en la 40 en los talleres y no permiten la visibilidad de los carros",""
"",jazmín y mejoraría el tránsito vehicular,""
"",jazmin tendría que sacar del  varios focos de  personas que nos están quitando la tranquilidad,""
"",jazmín mejoraría la facilidad de acceso al  ya que las calles mantienen muy congestionada,""
"",jázmin,""
"",jasmin la cra40 lago este.mas control del ambiente redes de cloacas sr vrn respuestas  al ambiente rstudio para mejorar su calidad am,""
"",jardin sacar la junta comunal q mo sirve para nada,""
La Villa,"ización la villa , mejoraría las zonas de esparcimiento de los niños , las vías y la tenencia de mascotas",Comuna 3
El Príncipe,ipe. y en la carrera 26 con 39 se llenó de reciclado rea durmiendo,Comuna 5
El Dorado,ión el dorado. más colaboración de los vecinos para el bienestar del,Comuna 3
La Villa,"ión , cámaras, muro del rio, castigar a los q arrojan basuras, los q dejan los perros solos en cale, vivo en la villa",Comuna 3
Santa Rita del Río,ío creo q podría mejorarse en cuanto apariencia pavimentado las dos cuadras q faltan alrededor del polideportivo,Comuna 3
La Independencia,invertiría en educación y proyectos para jóvenes y familias,Comuna 8
Sajonia,"inversión en parques en iluminación, remodelación, espacios de juegos de niños",Comuna 5
"","invasión  las vegas campaña de salud, general para todos, niños, adultos mayores, citologías,y vacunas,las necesitamos, gracias 🙏",""
El Lago,intervenir el lago chilicote,Comuna 5
"",integración de los habitantes,""
"",infraestructura vial,""
"","independencia, correcta demarcación de las señales de tránsito, instalación de camaras de seguridad",""
Nuevo Príncipe,íncipe,Comuna 5
Maracaibo,"impulsaría el comercio, veo como cada mes cierran un negocio diferente, mejoraría la seguridad y las zonas comunes",Comuna 9
San Pedro Claver,implementar máquinas para hacer ejercicios en el parque del amor. controles policiales a los mariguaneros en los parques,Comuna 6
La Paz,imentos y ayudaría para que colocaran el agua potable,Comuna 10
La Paz,imentacion,Comuna 10
"",iluminación y mayor entretenimiento en los parques.,""
Rubén Cruz Vélez,iluminación y aseó del parque q las personas q sacan sus mascotas recojan sus eses y  sacar la basura el día y hora q es,Comuna 7
Rubén Cruz Vélez,iluminación en los parques,Comuna 7
"","iluminación de estadio, señalización vial y seguridad",""
"",iluminación,""
Bosques de Maracaibo,iluminación,Comuna 8
Villa Liliana,"illa liliana, seguridad en especial para los comerciantes",Comuna 7
Villa Liliana,"illa liliana, mejorar la señalizacion e implementar reductores, y tambien mas parques para niños",Comuna 7
Villa Liliana,illa liliana,Comuna 7
Villa del Río,illa del río. por medio de la junta de.accion comunal fomentar el trabajo asociativa,Comuna 1
Bosques de Maracaibo,"ibo, puntos de acopio, basuras y reciclaje, acompañamiento, para los niños y jóvenes.actividades culturales , recreación",Comuna 8
Bosques de Maracaibo,"ibo, más comercio",Comuna 8
Las Delicias,ias que allan más actividades deportivas para todos,Comuna 6
Victoria,ia,Comuna 1
Avenida Cali,i..... seguridad,Comuna 5
El Laguito,"hay probelmas de alcantarillado  , inundaciones cuando llueve",Comuna 5
El Bosque,haría recipientes para almacenar la basura y que no sea foco de contaminación visual,Comuna 3
Villanueva,"hacer actividades que favorezca a los habitantes de mi , organizar el parque y  gestión para reductores de velocidad",Comuna 3
"",hacer actividades deportivas lúdicas hacer trabajos para que esos jóvenes que se encuentran en los parques tenga un oficio que hacer o mante,""
"",hablar. con lod vecinos,""
Panamericano,hablar para tener más seguridad en el  contra los delincuentes,Comuna 1
Maracaibo,"grupos de apoyo, capacitaciones",Comuna 9
Nuevo Farfán,"gestonar pavimento, parques, escenario deportivo organizandolos",Comuna 7
La Esperanza,fortalecer la seguridad,Comuna 6
Farfán,"farfán, mejoraría las calles están en muy mal estado puede causar accidentes",Comuna 7
Farfán,farfán cambiaría la limpieza,Comuna 7
Las Nieves,falta terminar algunas calles y también ayudar a los perros y gatos que habitan en la calle,Comuna 7
Portales del Río,"falta educación cívica. hay vecinos ruidosos, mascotas que ensucian el parque, gente que bota basura, consumo de drogas",Comuna 9
Nuevo Príncipe,"falta acciones para  basuras sacadas frente a su casa, policía atienda alto volumen de equipos de sonido",Comuna 5
Rojas,factor inseguridad,Comuna 7
"",fachada de casas de color blanco,""
Pueblo Nuevo,"evo, mejoramiento en las vías y señalización en la carrera 19",Comuna 6
Diablos Rojos,"etapa 1, el ruido hay vecinos demasiado ruidosos que por lo general viven en alquiler",Comuna 7
"",estoy..en andalucia valle del cauca,""
"","estoy recién ubicada en el nuevo  villa de las palmas que está situado en la nueva ciudadela parque central, evacuar la balastrera",""
Alvernia,estimular el trabajo en comunidad el los parques,Comuna 2
La Campiña,establecer de nuevo una junta de acción comunal,Comuna 7
"",esperanza etapa 1. los equinos en la calle.,""
"",esperanza etapa 1. animales equinos en la calle.,""
Céspedes,éspedes aparte del caos total que representa la cra 30 han crecido demasiado talleres de autos y motos en la calle y andenes,Comuna 2
La Paz,espacios para capacitación  de niños jóvenes y adolescentes para que ocupen el tiempo libre,Comuna 10
La Esperanza,espacio de juegos para los niños,Comuna 6
Villanueva,ese puente mal hecho que nos perjudicó a todos,Comuna 3
"","es un  un poco inseguro ya que las personas no respetan que están en una vía pública, poniendo en riesgo a las demás personas.",""
Las Brisas,"es un  que durante años se ha solicitado el pavimento de las calles, y con el pasar de las décadas aun no se hace nada",Comuna 3
Céspedes,es un  muy tranquilo,Comuna 2
El Limonar,es necesario la pavimentación de la vías de acceso al . ya pagamos impuestos como para qué se lo siga robando,Comuna 7
Victoria,"es mi ...el manejo del tránsito,la seguridad para quienes habitan  al lado de fábricas",Comuna 1
Guayacanes,es más cámaras de seguridad,Comuna 7
"",equipos biosaludables.iluminación y seguridad.,""
"",equipamiento para trabajo fisico.iluminacion y seguridad.,""
"",entrerrios. convertir el lcorredor del jarillon en una zona verde protegida para salir a caminar tranquilamente todos los días,""
"",entrerios. me gustaria mas señalizacion en las calles,""
"","entrerios, mejoraría sus vías y la señalización",""
"",en urbanización san francisco poondria un cai en el farillon y sacaria tanto delincuente y drogadicto para que no contaminen mas niños,""
Avenida Cali,en tuluá,Comuna 5
"",en todos los s la seguridad,""
Fátima,en mi  y en todos obligaría a los presidentes de juntas a tener más acciones con su población y no solo a recibir dinero,Comuna 1
La Esperanza,"en la vía riofrío, esperando pronto la continuidad de la calle 27",Comuna 6
"",en la marina urbanización morante todo lo necesario para que nuestro alcalde nos construya el parquecito en la urbanización morante .,""
"",en el  la nueva holanda,""
La Paz,ela parque central (moreno tafurt). instalación de puestos de salud,Comuna 10
"",el transporte urbano.mas vigilancia en los parques para aumentar los viciosos y más precensia dela alcaldía con sus habitantes,""
Las Delicias,el sitio de la cancha al lado de la iglesia para actividades recreativas de niños,Comuna 6
Sajonia,el servicio de aseo.veolia es muy ladron,Comuna 5
Portales del Río,"el sector donde vivo es agradable, con buena convivencia",Comuna 9
Bello Horizonte,el ruido es insoportable cada ves se vuelve peor,Comuna 8
"",el parque y el polideportivo,""
"",el parque y el estadio muy están muy abandonados tanto por la comunidad como por la alcaldía,""
Sajonia,"el parque transformarlo que sea más familiar. colocar juegos, y los aparatos para hacer ejercicio. así evitar indigentes",Comuna 5
"","el manejo de las mascotas, demasiado ruidosas y no tienen control de sus amos para los desechos",""
El Lago,"el lago, más seguridad",Comuna 5
"",el escandalo,""
"",el encierro del polideportivo,""
"",el deliro la seguridad,""
"","el condor dos, mejoraria las luminarias, pavimentar la calle 13 c y traer juegos nuevos al parque",""
"","el comportamiento ciudadano, los vecinos bullosos que la autoridad los coloque en su sitio",""
El Bosque,el bosque sus calles están sin pavimentar,Comuna 3
"",el aseo,""
Popular,el alumbrado público.. el alcantarillado...y cambiar definitivamente el consejo comunal..ps nunca hacen nada por mejorar el,Comuna 3
Sajonia,"el  sajonia, después de las ocho de la noche considero que es bastante peligroso y no se ve monitoreado por la policía",Comuna 5
Popular,el  popular.. y que sean más limpios recogiendo el popo de sus mascotas,Comuna 3
Progresar,el  está muy dañado da pesar por que son jóvenes que lo han desmejorado,Comuna 6
Villa Campestre,e,Comuna 1
"",dotar y mantener los parques con maquinas.luz y seguridad.,""
El Paraíso,dios vivo en el  el paraiso donde ungran alcalde lo pavimento lo que vélez no avía hecho,Comuna 10
El Porvenir,"demarcar las  vías  y en la transversal 12 también . jardines zonas verdes., hacer un ugar grande para aprender música, baile",Comuna 7
Victoria,"demarcación de la señal de pare en cuadras, aumentar zonas verdes para diversión",Comuna 1
"",delicias y entornos peatonales seguros para niños y amcianos,""
"",definitivamente la vida barrial se agranda con equipos biomecanicos y buen alumbrado.dan confianza y utilidad social.,""
Marandúa,decirle a gente que unidos cambiamos a tulua,Comuna 6
San Luis,de san luis ordenaria la inseguridad y el aseo y la limpieza del césped del parque y el aseo de los residuos del hogar,Comuna 8
Río Paila,de río paila tratar de mirar cómo gestionar un parque para nuestra niñes,Comuna 8
Río Paila,de río paila más señalización peatonal para nuestros niños,Comuna 8
Morales,"de morales, el río morales hacerle el muro para evitar inundaciones",Comuna 3
La Graciela,de marcar bien las calles con sus normas de tránsito,Comuna 9
La Santa Cruz,de las autoridades  de policía o militares   santa cruz,Comuna 3
"","darle a la antigua terminal el cambio que merece tuluá.una obra que marque,la audacia,imaginación,belleza y utilidad de diseño y movilidad.",""
El Porvenir,d controlar más las drogas es el peor viros,Comuna 7
Victoria,ctoria haria q mejorar que la gente no sea imprudente con la caca del perro,Comuna 1
José Antonio Galán,creo que mi  dentro de lo posible está bien,Comuna 7
El Palmar,"creo que lo que ha presentado un aumento es la inseguridad en el , más apoyo a los comercios",Comuna 9
Victoria,creo que es un  muy agradable y la verdad no sé que mejorar está muy bien ubicado y es muy tranquilo,Comuna 1
Aguaclara,crearía mi propia escuela de fudbol y asi  nuestros niños y jóvenes puedan ocuparsen en el deporte,Comuna 10
"","cra 27 bis detrás de el colegio caldas,cerca parque infantil , más entretención,a las personas que residen,cursos etc",""
La Esperanza,"cra 14a con 26c1,26c3 ,estamos cansados de la bulla de los equipos de sonido a alto volumen",Comuna 6
"",corregimiento nariño,""
"",corregimiento mategudua. ayudar a seguir conservando la hermosa naturaleza con toda su diversidad que nos rodea,""
"",corregimiento falta iluminación por los lados del aeropuerto muy oscuro,""
"","corregimiento de nariño, activarla el sector comercial, para generar empleo a las personas  ya sean jóvenes y adultos",""
"",corregimiento de nariño tantas cosas que hay para hacer por este lugar los jóvenes son más los metidos en las drogas,""
"",corregimiento de la marina.de tulua lo.que avia.dicho control de animales popociando en.las.vias y parqués no es grato estar.ahi olores a po,""
"",corregimiento de bocas de tulua,""
Popular,cooperar para mantener limpias sus calles y que halla seguridad,Comuna 3
Victoria,"controlar los habitantes de calle, los consumidores de sustancias psicoactivas y sitios de expendio",Comuna 1
Bosques de Maracaibo,contar con un centro cultural como el de bosques de maracaibo y una ciudadela deportiva en el sector de la igles,Comuna 8
Marandúa,consumo de sustancias al aire libre,Comuna 6
Pueblo Nuevo,consumo de drogas,Comuna 6
Fátima,consientizar a la gente de  recoger los escrementos de sus mascotas,Comuna 1
"",consejo,""
El Lago,con el humedal del lago chillicotte. más protección a la fauna y flora,Comuna 5
Portales del Río,con acuerdos para mejoramiento de cada familia,Comuna 9
Villa del Sur,"cómo en otros sectores adecuar espacios de actividad saludable para el público bancas para quienes los visitan, e iluminación",Comuna 7
El Centro,"claver,  mejoraría la atención y el horario en el centro de salud de nuestro  más atención en la salud de los vecinos",Comuna 4
La Villa,ción la villa. sembraría más árboles en la ribera del río morales a su paso por el sector,Comuna 3
La Villa,ción la villa. que se construya el muro de contención del río,Comuna 3
La Villa,"ción la villa , el consumo de drogas",Comuna 3
La Villa,"ción la villa , aportar y participar  en alas actividades que se hagan dentro de ella",Comuna 3
El Lago,"cias, vigilancia constante en el lago por parte de la policía ambiental para control de tanto desadaptado y drogadicto que destruye",Comuna 5
El Lago,"cias, más vigilancia para el lago y que la policía ambiental permanezca en el cai para controlar y proteger este humedal",Comuna 5
"",centro.eso me permite decirle a la administración que eleve al máximo la zona del antiguo terminal.y un cable aéreo desde la marina .,""
"",centro. seguridad,""
La Merced,"ced, seguridad",Comuna 5
La Graciela,"casa comunal y realizar eventos culturales, de conciencia ciudadana, talleres varios, ferias emprendimiento. señalización vial",Comuna 9
San Carlos,carlos. construir verdaderos parques de recreación para los niños no los hay,Comuna 5
"",canchas deportivas en mi  no hay,""
"",campoalegre crearía un ciclo ruta tulua andalucia  vía tres esquinas con más dinamismo he inversión en seguridad y promoción,""
El Bosque,campañas educativas y programas sociales,Comuna 3
Popular,cambiar la junta que lleva muchos años y no se nota progreso en el,Comuna 3
Diablos Rojos,cámaras para que los dueños de mascotas recojan los excrementos de sus perros por qué los dos parques que hay solo son cargader,Comuna 7
Victoria,cámaras de vigilancia y demarcación de vias,Comuna 1
Alvernia,camaras de vigilancia,Comuna 2
"",calles sin pavimentar,""
"","calles sin huecos, todas las calles estan dañadas.",""
Aguaclara,callejon el diamante,Comuna 10
Aguaclara,"callejón 7 vueltas. falta parque para niños y abuelos,  mejorar la seguridad",Comuna 10
Tercer Milenio,calle 5c17-28 señales de pare,Comuna 8
"",call 26 a la. calle del sancocho la seguridad el  es.muy sólo,""
Quintas de San Felipe,"buscaría ayuda del municipio para mejorar la seguridad,el consumo de sustancias y la botadero de basura en el",Comuna 5
"","br av cali. inseguridad, aprovecharía y mejoraría el tramo del río desde la calle 34 hasta la cancha",""
El Bosque,bosque  que recibamos el apoyo de entidades competentes para la seguridad,Comuna 3
"",bocas de tulua via principal,""
Tomás Uribe Uribe,bicar los areneros y habitantes de calle,Comuna 4
"",balcones del empedrado,""
"",b/ santa rita pavimentación llll  para las calles que están en pésimo estado,""
Franciscanos,ayudar a mantener limpias las calles,Comuna 2
La Rivera,avimentación. y reubicación de la empresa maderas la rivera .debido a la contaminación ambiental y auditiva,Comuna 1
"",ave cali,""
"",av. cali mejorar las calles,""
Victoria,aumento de zonas verdes. puede ser un simple gym al aire libre,Comuna 1
Ciudad Campestre,aumentar las rondas de la policía,Comuna 1
El Lago,arreglo de vías de acceso y mejoramiento de las condiciones locativas del estadio 12 de octubre,Comuna 5
Fátima,"arreglo de las vías, y control sobre el parque de la familia",Comuna 1
Victoria,arreglo de calles y la seguridad y el bullicio,Comuna 1
"",arreglar las vias,""
Villa Campestre,arreglar las calles,Comuna 1
"",arboledas del darien,""
Aguaclara,"ara, faltan más centros deportivos",Comuna 10
Aguaclara,ara vía los caímos mejoraría la vía principal ya que yo vivo en una curva que es peligrosa pondría unos reductores de velocidad,Comuna 10
"","aprovechando nuestro parque infantil,atraer a la familia, jóvenes niños etc en programación didáctica y ejemplar",""
Victoria,"andenes iguales, semáforos sobre la carrera 34, seguridad, multar a motociclistas ruidosos. desalojar carros que se parques call",Comuna 1
"",andalucia,""
San Antonio,an antonio  mayor inversión en el deporte y la seguridad de mi,Comuna 3
Entre Ríos,ampliaría el conocimiento de los habitantes del  (incluyéndome) en convivencia. no permitir la explosión de pólvora. …………,Comuna 2
Flor de la Campana,ampanaen que terminar el pavimento y hubiera mejoras en la acción cumunal,Comuna 8
El Palmar,"almar, hacer uso de la biblioteca, para toda la comuna 9 y todos escrucibamente para fomentar la lectura, hacer diplomados de medio",Comuna 9
Franciscanos,allejón sanfrancisco siete vueltas yo he querido tener un comedor comunitario para los niños y un lugar de recreación para ellos,Comuna 2
Siete de Agosto,alcantarillado y pavimentacion,Comuna 9
"","alameda 1,y trataría de hacer campañas para que no tienen tanta basura en la transversal 12,también hay mucho perrito abandonado en la calle",""
"","alameda 1,el ruido de los vecinos cuando sacan los parlantes a la calle y les ponen mucho volumen",""
Portales del Río,aila que las autoridades estén más pendientes del ruido tan elevado por la música en varias casas q la policía llegue cuand,Comuna 9
Portales del Río,aila  le pondría reductores de velocidad a las cuadras anchas para que las motos y carros no andén a altas velocidades,Comuna 9
Farfán,adaptación de reductores de velocidad,Comuna 7
Bosques de Maracaibo,ada de bosques de maracaibo,Comuna 8
La Ceiba,"actualmente la cancha deportiva la retiraron la malla, supuestamente para mejorar, pero al momento paralizaron las obras",Comuna 6
Popular,actividades en el parque para que sean ocupafos de nuevo por los niños y las familias,Comuna 3
Lusitania,actividades de integración con los vecinos,Comuna 5
"",acondicionamiento de parques y zonas verdes. pavimentación completa de las calles. despeje de cañaduzales y lotes baldíos.  campañas,""
Villa Liliana,acabar con las drogas,Comuna 7
Villanueva,"a, mejor vigilancia en las zonas verdes, además en parques dispositivos de vigilancia (cámaras de seguridad) y canecas de basura",Comuna 3
Villanueva,"a, mayor vigilancia y control de la policía",Comuna 3
Aguaclara,a más autorida,Comuna 10
Aguaclara,a le daría un poco más de proyectos de recreación para los niños y mejoramiento en la vía  de la carrilera está en muy mal estado,Comuna 10
La Graciela,a graciela y los vecinos hacen mucho ruido poniéndo música a alto volumen y hay personas consumiendo sustancias alucinógenos,Comuna 9
Aguaclara,a,Comuna 10
"","7 de agosto seguridad, y mantenimiento a las alcantarillas para que no se inunden más las cuadras",""
"",7 de agosto   más presencia policial,""
"",7 canchas esa destapada,""
Victoria,"2 cosas, el civismo y los modales de las personas, me ha tocado ver como escupen y orinan en mi andén. y 2, hay mucha indigencia",Comuna 1
Departamental,2  departamental sacaría los bares a las afueras demasiado ruido olores de sustancias alucinógenas peleas ruido excesivo,Comuna 7
"",12 de octubre.. mejorar la vaya vial,""
La Villa,";terminar alto volumen de la música, prohibir fumar y vender bebidas alcohólicas en el supermercado.prohibir consumo de alucinógenos",Comuna 3
Victoria,"; seguridad, vías",Comuna 1
Avenida Cali,&#039;&#039;el  no es el asunto es la inseguridad que se vive,Comuna 5
Villa del Sur,"! pues mi cuadra es bien , solo uno que otro vecino ruidoso ( y bastante ) los fines de semana ! de resto todo excelente!",Comuna 7
Aguaclara,"",Comuna 10
Alameda I y II,"",Comuna 9
Alvernia,"",Comuna 2
Asoagrin,"",Comuna 3
Asoagrin - Farfán,"",Comuna 6
Bolívar,"",Comuna 6
Bosques de Maracaibo,"",Comuna 8
Buenos Aires,"",Comuna 6
Chiminangos,"",Comuna 8
Diablos Rojos,"",Comuna 7
Doce de Octubre,"",Comuna 5
El Centro,"",Comuna 4
El Dorado,"",Comuna 3
El Jardín,"",Comuna 9
El Lago,"",Comuna 5
El Laguito,"",Comuna 5
El Limonar,"",Comuna 7
El Palmar,"",Comuna 9
El Paraíso,"",Comuna 10
El Pinar,"",Comuna 6
El Príncipe,"",Comuna 5
El Retiro,"",Comuna 1
Escobar,"",Comuna 4
Fátima,"",Comuna 1
La Bastilla,"",Comuna 5
La Esperanza,"",Comuna 6
La Graciela,"",Comuna 9
La Paz,"",Comuna 10
La Santa Cruz,"",Comuna 3
La Villa,"",Comuna 3
Las Américas,"",Comuna 7
Las Nieves,"",Comuna 7
Marandúa,"",Comuna 6
Nuevo Alvernia,"",Comuna 2
Nuevo Príncipe,"",Comuna 5
Palobonito,"",Comuna 4
Panamericano,"",Comuna 1
Prados del Norte,"",Comuna 7
Quintas de San Felipe,"",Comuna 5
Rojas,"",Comuna 7
Rubén Cruz Vélez,"",Comuna 7
Salesiano,"",Comuna 5
San Benito,"",Comuna 1
San Luis,"",Comuna 8
San Pedro Claver,"",Comuna 6
Santa Inés de Comfamiliar,"",Comuna 8
Santa Isabel,"",Comuna 8
Tomás Uribe Uribe,"",Comuna 4
Urbanización Lomitas,"",Comuna 1
Urbanización Peñaranda,"",Comuna 3
Victoria,"",Comuna 1
Villa Campestre,"",Comuna 1
Villa del Sur,"",Comuna 7
