"Identificador de la publicación","Identificador de la cuenta","Nombre de usuario de la cuenta","Nombre de la cuenta",Descripción,"Duración (segundos)","Hora de publicación","Enlace permanente","Tipo de publicación","Comentario sobre los datos",Fecha,Impresiones,Alcance,"Me gusta","Veces que se compartió",Seguimientos,Comentarios,"Veces que se guardó",Reproducciones
17903881832960138,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","¡Arranca la segunda fase de la Actualización Catastral! 🚨🏡 

Este proceso es clave para ajustar la información de nuestros predios y que todo refleje la realidad del territorio.
La Administración Municipal estará en los corregimientos, junto a las Juntas de Acción Comunal y la ciudadanía en general, para explicar cómo este cambio impacta directamente en tu comunidad.

¡Juntos mejoramos a Tuluá #ParaSerFelices! 💪💙 #ActualizaciónCatastral",83,"10/09/2024 08:09",https://www.instagram.com/reel/DA6GpVvBCAS/,"Reel de Instagram",,Total,3470,2950,117,8,,2,2,
18045745936988031,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","¡Inician las obras en Tuluá!✅🚧

📅 Esta semana damos inicio a los trabajos de pavimentación en el sector del cruce de la Virgen, en la vía Aguaclara, con el objetivo de reestablecer el flujo vehicular y mejorar la movilidad en la zona.

👷🏽🚧 La Administración Municipal, a través de la Secretaría de Hábitat e Infraestructura, en trabajo articulado con @infitulua , está llevando a cabo la restitución de la carpeta de pavimento rígido, una obra clave para optimizar la infraestructura vial del municipio.🛣️

Con estas acciones, seguimos avanzando en el fortalecimiento de nuestra red vial, mejorando la calidad de vida de los tulueños #ParaSerFelices 💙",0,"10/08/2024 14:32",https://www.instagram.com/p/DA4Nxv6u5Iy/,"Secuencia de Instagram",,Total,3018,2531,82,8,1,0,2,
17948888948847746,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","¡Atención jóvenes mayores de 18 años! 📣
La Armada de Colombia y la Administración Municipal, te invitan a incorporarte y prestar tu servicio militar. No dejes pasar esta oportunidad única. ¡Te esperamos este 24 de octubre en el Coliseo de Ferias Manuel Victoria Rojas!👏🏽
¡Te esperamos!✅🙌",80,"10/08/2024 10:00",https://www.instagram.com/reel/DA3uiuGP86B/,"Reel de Instagram",,Total,4407,3783,87,5,2,0,3,
18145098970338703,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","🌿💧 ¡Enamórate de tu río! 💧🌿

Este fin de semana, junto a los Equipos Básicos en Salud y el Plan de Intervenciones Colectivas del Hospital Rubén Cruz Vélez, nos unimos para realizar una jornada de limpieza del río y sus zonas verdes. 🌊🧹
Nuestro compromiso es mantener Tuluá libre de residuos y cuidar la salud de todos. 🌍❤️ Porque la belleza de nuestros espacios es clave para vivir bien.

¡Hagamos de nuestro municipio un lugar más limpio y saludable #ParaSerFelices! 💙 ✨",0,"10/07/2024 14:11",https://www.instagram.com/p/DA1mhhQvkDC/,"Secuencia de Instagram",,Total,2168,1634,85,3,1,2,1,
17862487404185028,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","🌱 ¡Inicia la Siembra! 🌱
Desde la SEDAMA, damos inicio a la siembra responsable de 50 árboles en la Avenida Cali, utilizando el método de goteo para garantizar su crecimiento saludable.
Invitamos a toda nuestra comunidad tulueña a unirse a esta importante labor ambiental, aportando su apoyo y compromiso para cuidar y preservar nuestro entorno. Juntos hacemos de Tuluá un municipio más verde y sostenible #ParaSerFelices 💙🌳💧",56,"10/07/2024 08:53",https://www.instagram.com/reel/DA1CIk4urGv/,"Reel de Instagram",,Total,1522,1284,24,1,,2,0,
18042309971285027,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","¡Hora de aventurarse en el Mundo de la Fantasía!✨🔹🪄

Prepárate para un día mágico, lleno de diversión para todos, con dulces, inflables, disfraces, rifas y muchas sorpresas más. Este 26 de octubre en el Coliseo de Ferias Manuel Victoria Rojas. 

Ven y vive un Halloween único 🎃🪄👻 ¡Te esperamos #ParaSerFelices! 🙌🏼💙",0,"10/06/2024 10:24",https://www.instagram.com/p/DAynwDQuqAu/,"Imagen de Instagram",,Total,5869,4408,115,38,1,1,5,
18021603161595453,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","Conoce cuáles fueron las tres noticias más importantes dela primera semana de octubre, en nuestro resumen “45 segundos #ParaSerFelices”✅🕢 #Noticias #Tuluá 

#Tuluá #Noticias #AlcaldíadeTuluá 💙💪🏼",57,"10/05/2024 15:24",https://www.instagram.com/reel/DAwlTc2OWS4/,"Reel de Instagram",,Total,1756,1562,59,6,,0,0,
17857003881223459,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","¡La Ruta de la felicidad continúa en el barrio Farfán!🙌🏼✅

Impactando aproximadamente 200 personas, llegamos con la Jornada
descentralizada al barrio Farfán con toda la oferta institucional y una vez más logramos estar más cerca de los tulueños con nuestros servicios y los Equipos Básicos en Salud.🏥🩺 

Continuamos generando espacios #ParaSerFelices 💙💪🏼",0,"10/05/2024 13:53",https://www.instagram.com/p/DAwa89hJv8z/,"Secuencia de Instagram",,Total,2351,1803,89,5,,0,0,
18420934057079957,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","¡Juntos por el Lago Chilicote! 🌿💧
Desde la SEDAMA realizamos la jornada para limpiar y proteger nuestro humedal Lago Chilicote, vital para la biodiversidad de flora y fauna de nuestro municipio.

¡Cuidar el medio ambiente es tarea de todos! 🌍✨ #ParaSerFelices #LagoChilicote",37,"10/04/2024 15:03",https://www.instagram.com/reel/DAt-FDks3O6/,"Reel de Instagram",,Total,1179,1083,51,5,,5,0,
18101284084442843,17841436811933031,imdertulua,"Imder Tuluá","Celebramos Amor y Amistad con nuestra comunidad #ParaSerFelices 💙",37,"10/04/2024 13:53",https://www.instagram.com/reel/DAt2D_TvtkY/,"Reel de Instagram",,Total,,,26,0,,0,0,1663
18063058093599685,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","Revive este espacio “Encuentros con el Alcalde” #ParaSerFelices ✅🙌🏽",2425,"10/04/2024 12:22",https://www.instagram.com/reel/DAtlRo6vD1p/,"Reel de Instagram",,Total,606,568,29,0,,1,1,
17880965667070948,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","¡En Tuluá estamos transformando nuestros espacios! 🌿✨

Gracias al trabajo articulado entre la Secretaría de Hábitat e Infraestructura con Infituluá, estamos realizando trabajos de adecuación, pintura, renovación de la cancha, embellecimiento de zonas verdes del barrio San Pedro Claver.

Queremos ofrecerle a nuestras familias tulueñas un entorno más seguro, bonito y digno. 💪🏼🏡 Juntos estamos haciendo de Tuluá un mejor lugar #ParaSerFelices 🙌🏼",74,"10/04/2024 06:35",https://www.instagram.com/reel/DAtD2yRulpr/,"Reel de Instagram",,Total,4646,3887,167,27,,7,2,
17903484567021666,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","¡Empoderando la Voz del Líder!✅💪🏼
Así vivimos este gran espacio creado para la comunidad tulueña, líderes, activistas y periodistas que participaron de este taller de comunicación y liderazgo brindado por @jorgeadrianorozcol, periodista tulueño de NTN24, donde compartimos y dialogamos sobre diferentes temas para el fortalecimiento del discurso y la interacción con los líderes sociales y sus territorios. 📣 #ParaSerFelices💙",62,"10/03/2024 14:48",https://www.instagram.com/reel/DArXn85vWc7/,"Reel de Instagram",,Total,959,893,35,1,,0,1,
18043686911487403,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","¡Los tulueños aprovecharon el 90% de descuento en el Papayazo Tributario!🙌🏼✅

Durante el mes de septiembre, más de 3000 ciudadanos realizaron su pago con el 90% del descuento en sanciones e intereses de mora y obtuvieron un gran ahorro en el aporte a sus impuestos. Contribuyendo al desarrollo y progreso de nuestro municipio. #ParaSerFelices 💙",86,"10/02/2024 09:06",https://www.instagram.com/reel/DAoLoqtAsVM/,"Reel de Instagram",,Total,3360,2719,110,17,,11,3,
18278357134171627,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","Dignificar la vida y la muerte es nuestra prioridad. Desde la Secretaría de Gobierno con el apoyo de Medicina Legal, acompañamos a familias tulueñas en la búsqueda de seres queridos no reclamados, brindando paz y respeto.🙌🏽🤍",0,"10/01/2024 14:08",https://www.instagram.com/p/DAmJeimvCbK/,"Secuencia de Instagram",,Total,5383,4211,158,3,,4,5,
18039727193111204,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","¡La integridad de los tulueños es nuestra prioridad! 🚖✨

Desde el Departamento Administrativo de Movilidad y Seguridad Vial, seguimos comprometidos en ofrecer un servicio de transporte de calidad y seguro para todos los tulueños. Únete a la campaña #TaxiSeguroTulua. Juntos, construimos un futuro más seguro. 💙🙌🏽 #YosoyTaxiSeguro #ParaSerFelices #Taxi",37,"09/30/2024 15:19",https://www.instagram.com/reel/DAjsxVtRGQ9/,"Reel de Instagram",,Total,2263,1751,50,2,1,2,2,
17937086978793978,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","Conoce cuáles fueron las tres noticias más importantes de la semana en este “45 segundos #ParaSerFelices”✅🕢 

#Tuluá #Noticias #AlcaldíadeTuluá 💙💪🏼",68,"09/28/2024 14:12",https://www.instagram.com/reel/DAebX-ZvhRx/,"Reel de Instagram",,Total,2515,2093,64,7,1,3,0,
18039582779506930,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","¡Acompañamiento a Juntas de Acción Comunal!✅🙌🏼

Después de nueve meses de acompañamiento y asesoría técnica y jurídica, la Secretaría Privada logró realizar el acto de posesión de la Junta de Acción Comunal de la Urbanización San Felipe. 

Estamos comprometidos con el apoyo y el trabajo conjunto con la comunidad tulueña #ParaSerFelices 💙✅",74,"09/28/2024 07:02",https://www.instagram.com/reel/DAdqEnfuxDC/,"Reel de Instagram",,Total,1759,1434,55,4,,0,1,
17865387222218601,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","Revive nuestro live “Encuentros con el Alcalde”🔵

En esta ocasión con nuestro invitado especial @jorgeadrianorozcol ✅💙

#ParaSerFelices 🙌🏽",4243,"09/27/2024 19:43",https://www.instagram.com/reel/DAccogAuNHn/,"Reel de Instagram",,Total,762,724,40,0,,0,0,
18012173624370556,17841431512646378,puntos_innova_tulua,"Punto Innova","Desde el Punto Innova de la Institución Educativa Técnica de Occidente se llevará a cabo el primer taller de guión para que los amantes de la creación de contenido tengan la base para crear proyectos audiovisuales. 

Si deseas inscribirte acércate al Punto Innova o escríbenos al 3147592593 y separa tu cupo. 
¡Recuerda que es completamente gratis!",44,"09/27/2024 16:36",https://www.instagram.com/reel/DAcHFCkuY6V/,"Reel de Instagram",,Total,,,49,22,,1,0,2989
17848190949300422,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","¡Vamos todos al Mercado Campesino!🙌🏽💙

Todos los martes y viernes visítanos en nuestro Mercado Campesino ubicado en la Carrera 30 # 14-51 y conoce todos lo que nace del Corazón del Paraíso. Compra a nuestros campesinos tulueños y apoya el comercio local y rural.✅💙 #ParaSerFelices 🙌🏽",38,"09/27/2024 06:32",https://www.instagram.com/reel/DAbBcRqOLEM/,"Reel de Instagram",,Total,3451,1593,35,2,,0,0,
18041079545295984,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","¡Empoderando la voz del Líder!✅

No te pierdas este gran espacio enfocado para periodistas, medios de comunicación, líderes sociales, activistas y comunidad en general que deseen aprender a comunicar de una manera más innovadora con @jorgeadrianorozcol. Te esperamos💪🏼
 
¡Inscríbete ahora en el link de las historias!🙌🏼",60,"09/26/2024 13:07",https://www.instagram.com/reel/DAZJ8sovRDu/,"Reel de Instagram",,Total,826,737,41,3,,2,0,
18102916561431456,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","¡Así se vivió #TuluActiva2024!✅💪🏼

 Con éxito se llevó a cabo la Semana de la Juventud, realizada con el apoyo de la Secretaría de Bienestar Social, donde los jóvenes tulueños pudieron participar de espacios formativos, culturales y recreativos. Nuestro compromiso con la juventud continúa vigente #ParaSerFelices 🙌🏽✅💙",80,"09/26/2024 10:16",https://www.instagram.com/reel/DAY2lhruKfM/,"Reel de Instagram",,Total,1940,1659,78,6,,2,1,
18038900941897323,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","¡Juntos por un futuro más verde! ✨🌱

Estamos comprometidos con escuchar a los tulueños y después de esta ola de calor, queremos dar inicio a los proyectos de siembra para le preservación de las zonas verdes de nuestro municipio. Continuamos de la mano con la comunidad y las juntas de acción comunal para cuidar y mantener nuestras zonas verdes. 💚✅💪🏼

Sigamos construyendo espacios #ParaSerFelices 🌳🤝",59,"09/25/2024 16:03",https://www.instagram.com/reel/DAW506JMdV8/,"Reel de Instagram",,Total,1015,974,43,2,1,0,1,
17965720823667713,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","¡En esta ola de calor, cuidémonos juntos!✅🙌🏼☀️

Desde la Administración Municipal nos preocupamos por la integridad de los tulueños. Sigue estos tips para enfrentar estas altas temperaturas. Estamos comprometidos con tu salud🤗 #ParaSerFelices 💙",0,"09/20/2024 14:13",https://www.instagram.com/p/DAJ1QuYur9r/,"Secuencia de Instagram",,Total,2017,1357,28,4,,0,1,
18008801594388216,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","Encuentros con el Alcalde ✅🙌🏽
 
Revive la transmisión con el alcalde @gustavovelezr #ParaSerFelices 💙💪🏼",2131,"09/20/2024 11:32",https://www.instagram.com/reel/DAJi030PWzJ/,"Reel de Instagram",,Total,1049,961,52,1,,2,1,
18046755769787682,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","¡See Learning llegó a padres de familia!✅📚💪🏼

Con más de 200 padres de familia, y 400 docentes y cuidadores, participamos del Foro See Learning Tuluá 2024: Conversación - Familias conectadas, como aliados de la @fundacionlevapan , con conferencias enfocadas a padres de familia sobre las buenas prácticas de la crianza. 

Continuamos apoyando estos espacios que permiten asegurar que niños y niñas logren tener lugares seguros en su crecimiento y en su formación para orientarlos hacia el futuro de la Tuluá #ParaSerFelices💙",75,"09/19/2024 14:54",https://www.instagram.com/reel/DAHUl-TOIlI/,"Reel de Instagram",,Total,2248,2009,87,1,,3,4,
18008645240400462,17841400356362656,infitulua,"INFITULUÁ E.I.C.E","❤️ ¿No sabes qué dar en estas fechas? ¡Regala desde el comercio tulueño! 🎁 Conoce la variedad de productos que tenemos para ofrecerte en La Galería, el Centro Comercial Pabellón y Bicentenario Plaza. ¿Qué estás esperando para conseguir productos de buena calidad a un excelente precio? ¡Te esperamos!",32,"09/18/2024 10:01",https://www.instagram.com/reel/DAEOzRAMlJN/,"Reel de Instagram",,Total,1669,1368,37,4,2,0,1,2030
17889894084094303,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","¡Impulsamos proyectos para la COP16!💪🏼📚

Con el fin de vincular a 100 jóvenes tulueños entre los 18 y 28 años que desarrollen iniciativas de medio ambiente y biodiversidad, en alianza entre la Agencia Presidencial para la Cooperación, la Administración Municipal y la Unidad Central del Valle, @ucevacol, trabajamos para promover la presentación de las mejores iniciativas o proyectos que podrán visibilizarse en la COP16 ✅💙

¡inscríbete ahora y haz parte de este gran espacio!✅💪🏼",29,"09/18/2024 07:59",https://www.instagram.com/reel/DAEAxfkOrwK/,"Reel de Instagram",,Total,4130,3201,137,25,,2,1,
18116521126398862,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","¡Vehículos seguros para los tulueños!✅🙌🏽

Desde el Departamento Administrativo de Movilidad y Seguridad Vial, continuamos con el compromiso de brindar un servicio seguro y de calidad a la ciudadanía tulueña con la campaña  #YoSoyTaxiSeguro.
Estamos trabajando #ParaSerFelices 💙💪🏼",52,"09/17/2024 08:34",https://www.instagram.com/reel/DABfL8VO-yH/,"Reel de Instagram",,Total,3350,3058,114,5,1,16,6,
18022453049588485,17841407739133684,emtulua,"Emtulua Esp","¡Continuamos embelleciendo y transformado Tuluá!

Desde Emtuluá, en conjunto con la Administración Municipal y Veolia Aseo Tuluá, continúa  dando cumplimiento al programa de corte de césped y la poda de árboles en vías y áreas públicas. 🚜✂️🌳

Cada acción es un paso más hacia una ciudad más limpia y hermosa #ParaserFelices

¡Cuidemos juntos de Tuluá! 🏠💚",30,"09/16/2024 13:48",https://www.instagram.com/reel/C__e8m7PIO2/,"Reel de Instagram",,Total,,,80,10,,6,0,
18311623072095718,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","Revive el live “Encuentros con el Alcalde”💪🏼

Un espacio creado para dialogar con la comunidad.🙌🏽💙 #ParaSerFelices ✅",3694,"09/15/2024 06:26",https://www.instagram.com/reel/C_8HyUaOEhc/,"Reel de Instagram",,Total,1257,1154,47,0,,0,1,
18035097734158647,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","¡Concluimos la Ruta de la Felicidad en la Comuna 6!🙌🏽✅

Con más de mil personas beneficiadas, hemos finalizado las jornadas descentralizadas “La Ruta de la Felicidad” en la Comuna 6. Acompañando a los Equipos Básicos en Salud y llevando la oferta institucional de la Administración Municipal para la comunidad tulueña.  #ParaSerFelices 💙💪🏼",51,"09/14/2024 16:05",https://www.instagram.com/reel/C_6jjgtOJ2x/,"Reel de Instagram",,Total,1753,1440,59,29,,2,1,
18012007196626913,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","¡Alianzas estratégicas que le apuestan al deporte tulueño! ✅

Con el embellecimiento, pintura, limpieza y mejora del Coliseo de Pesas del Coliseo Benicio Echeverry, la empresa Colombina, Planta Conservas le apostó al deporte tulueño invirtiendo en la mejora y adecuaciones del lugar. Desde la Administración Municipal, se adelantó este convenio desde el Instituto Municipal para el Deporte y la Recreación, IMDER. para brindar espacios adecuados para los deportistas de nuestro municipio. #ParaSerFelices 💙💪🏼",62,"09/11/2024 10:40",https://www.instagram.com/reel/C_yRsTHuZPd/,"Reel de Instagram",,Total,3046,2757,87,10,4,0,2,
17902716720034011,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","¡El alcalde Gustavo Vélez entregó más de 4000 mobiliarios escolares! 📚✨

Más de 2000 estudiantes de las Instituciones Educativas Técnica Industrial Carlos Sarmiento Lora, Juan María Céspedes y María Antonia Ruiz ahora cuentan con aulas renovadas, comedores, laboratorios y más. Este sueño, iniciado en 2016, es hoy una realidad #ParaSerFelices. 👏💪💙",76,"09/09/2024 14:04",https://www.instagram.com/reel/C_tfb6Dp_E0/,"Reel de Instagram",,Total,5035,4349,267,21,4,27,5,
17985120056577412,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","¡Alcalde llegó con la Ruta de la Felicidad a la Comuna 6!💙✅

Con toda la oferta institucional desde la Administración Municipal nos unimos a los Equipos Básicos en Salud para brindarle toda la atención a la ciudadanía de la Comuna 6 en el Centro de Integración Ciudadana del barrio Buenos Aires, con una gran participación de los tulueños logramos beneficiar a más de 800 personas ✅🫂

Desde la Administración Municipal continuamos creando estos espacios para compartir y estar más cerca de la comunidad #ParaSerFelices 🙌🏽💙

@puntos_innova_tulua @infitulua",0,"09/07/2024 12:52",https://www.instagram.com/p/C_oNonav-lr/,"Secuencia de Instagram",,Total,6073,4451,217,40,1,2,3,
18043396003964655,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","¡ENCUENTROS CON EL ALCALDE!💙🙌🏽

Gracias por hacer parte de estos espacios con nuestro alcalde @gustavovelezr ✅🙏🏻",2970,"09/06/2024 10:56",https://www.instagram.com/reel/C_lbjfAu0_N/,"Reel de Instagram",,Total,815,706,28,0,,0,0,
